I0918 08:21:00.612735 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.612831 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.613015 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.613133 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.613238 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.613555 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.614240 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:00.623695 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.668042 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.669035 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.669085 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.669193 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.679386 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.679630 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.680328 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:01.704473 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.380154 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.380753 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.381201 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.381228 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.384284 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.388500 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.390240 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:02.431296 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.093722 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.094430 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.094933 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.095435 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.095574 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.095839 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.097805 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:03.105965 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.620527 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.620587 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.620931 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.621140 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.621585 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.622121 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.627235 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:05.631310 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.686568 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.686733 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.686795 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.687170 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.687654 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.697880 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.698305 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:06.723269 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.410671 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.411036 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.411463 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.411691 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.411922 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.412361 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.421420 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:07.448190 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:08.119568 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:08.119844 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:08.120316 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:08.120481 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:21:08.120720 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
